Label (Grouping),['Total', 'Less than $10000', '$10000 to $14999', '$15000 to $24999', '$25000 to $34999', '$35000 to $49999', '$50000 to $74999', '$75000 to $99999', '$100000 to $149999', '$150000 to $199999', '$200000 or more', 'Median income (dollars)', 'Mean income (dollars)', 'PERCENT ALLOCATED', 'Household income in the past 12 months', 'Family income in the past 12 months', 'Nonfamily income in the past 12 months']
11203 Families Margin of Error,['±759', '±1.0', '±1.2', '±1.0', '±1.4', '±1.7', '±2.1', '±1.9', '±2.1', '±1.5', '±1.4', '±4491', '±4041', '', '(X)', '(X)', '(X)']
11203 Married-couple families Estimate,['9054', '1.3%', '1.1%', '3.4%', '5.2%', '9.5%', '15.7%', '14.9%', '24.7%', '14.4%', '9.7%', '94786', 'N', '', '(X)', '(X)', '(X)']
11203 Married-couple families Margin of Error,['±528', '±0.8', '±1.1', '±1.1', '±1.6', '±2.5', '±2.9', '±3.1', '±3.2', '±2.9', '±2.3', '±11006', 'N', '', '(X)', '(X)', '(X)']
11203 Nonfamily households Estimate,['9398', '14.7%', '9.9%', '12.6%', '13.0%', '15.0%', '18.3%', '7.9%', '5.7%', '2.0%', '0.9%', '34896', '48147', '', '(X)', '(X)', '40.0%']
11203 Nonfamily households Margin of Error,['±571', '±2.3', '±2.3', '±2.1', '±3.3', '±2.9', '±3.4', '±1.7', '±1.5', '±0.9', '±0.5', '±3059', '±5529', '', '(X)', '(X)', '(X)']
11204 Households Estimate,['25207', '5.3%', '5.4%', '9.5%', '10.1%', '12.9%', '15.6%', '12.9%', '16.5%', '6.1%', '5.8%', '58850', '79120', '', '48.4%', '(X)', '(X)']
11204 Households Margin of Error,['±998', '±1.0', '±0.9', '±1.3', '±1.3', '±2.3', '±2.2', '±1.7', '±2.1', '±1.1', '±0.7', '±4665', '±3200', '', '(X)', '(X)', '(X)']
11204 Families Estimate,['19902', '4.6%', '2.5%', '8.7%', '11.0%', '12.9%', '15.4%', '13.9%', '17.5%', '6.6%', '6.9%', '65359', '84941', '', '(X)', '47.5%', '(X)']
11204 Families Margin of Error,['±971', '±2.3', '±0.8', '±1.4', '±1.8', '±1.8', '±2.4', '±2.1', '±2.2', '±1.2', '±0.9', '±6826', '±4171', '', '(X)', '(X)', '(X)']
11204 Married-couple families Estimate,['14645', '2.3%', '2.0%', '8.5%', '11.4%', '13.2%', '15.7%', '13.2%', '18.1%', '6.9%', '8.7%', '69066', '91026', '', '(X)', '(X)', '(X)']
11204 Married-couple families Margin of Error,['±857', '±0.7', '±0.7', '±1.6', '±2.0', '±1.8', '±3.0', '±2.2', '±2.5', '±1.4', '±1.1', '±4494', '±4448', '', '(X)', '(X)', '(X)']
11204 Nonfamily households Estimate,['5305', '14.5%', '17.7%', '14.9%', '9.7%', '8.7%', '12.8%', '8.2%', '9.5%', '3.3%', '0.7%', '27017', '45698', '', '(X)', '(X)', '42.0%']
11204 Nonfamily households Margin of Error,['±437', '±3.6', '±3.2', '±3.2', '±2.9', '±2.3', '±3.2', '±2.2', '±4.0', '±1.5', '±0.6', '±4157', '±4370', '', '(X)', '(X)', '(X)']
11205 Households Estimate,['16926', '8.4%', '5.7%', '7.4%', '7.2%', '8.9%', '15.7%', '8.5%', '13.3%', '8.8%', '16.2%', '68607', '114380', '', '44.4%', '(X)', '(X)']
11205 Households Margin of Error,['±732', '±1.6', '±1.4', '±1.5', '±1.7', '±1.6', '±2.8', '±1.7', '±2.2', '±1.5', '±2.4', '±4839', '±7941', '', '(X)', '(X)', '(X)']
11205 Families Estimate,['8753', '5.2%', '4.7%', '6.5%', '8.7%', '11.3%', '16.6%', '6.8%', '12.3%', '10.7%', '17.2%', '66728', '127300', '', '(X)', '51.2%', '(X)']
11205 Families Margin of Error,['±543', '±2.1', '±1.5', '±2.0', '±2.6', '±2.7', '±3.7', '±2.2', '±3.1', '±2.4', '±2.8', '±10555', '±12623', '', '(X)', '(X)', '(X)']
11205 Married-couple families Estimate,['5571', '2.3%', '3.3%', '5.7%', '9.4%', '10.5%', '11.6%', '6.6%', '14.5%', '11.5%', '24.6%', '101729', 'N', '', '(X)', '(X)', '(X)']
11205 Married-couple families Margin of Error,['±502', '±1.6', '±1.4', '±2.6', '±3.5', '±3.2', '±3.0', '±2.3', '±4.2', '±2.8', '±3.8', '±20397', 'N', '', '(X)', '(X)', '(X)']
11205 Nonfamily households Estimate,['8173', '12.0%', '6.9%', '8.2%', '6.1%', '6.1%', '15.4%', '10.3%', '14.0%', '6.8%', '14.2%', '68170', '96962', '', '(X)', '(X)', '36.0%']
11205 Nonfamily households Margin of Error,['±767', '±2.8', '±2.5', '±2.3', '±2.2', '±2.1', '±3.9', '±2.4', '±2.9', '±1.5', '±3.8', '±4838', '±8352', '', '(X)', '(X)', '(X)']
11206 Households Estimate,['31256', '12.3%', '7.3%', '12.3%', '8.9%', '10.0%', '12.4%', '11.1%', '11.2%', '6.8%', '7.8%', '49013', '77433', '', '46.8%', '(X)', '(X)']
11206 Households Margin of Error,['±920', '±1.9', '±1.3', '±1.7', '±1.3', '±1.3', '±1.8', '±1.7', '±1.2', '±1.3', '±1.4', '±3388', '±4445', '', '(X)', '(X)', '(X)']
11206 Families Estimate,['18246', '11.1%', '5.1%', '14.1%', '11.5%', '12.7%', '15.0%', '11.6%', '8.3%', '4.7%', '5.9%', '44491', '71085', '', '(X)', '51.3%', '(X)']
11206 Families Margin of Error,['±912', '±3.0', '±1.4', '±2.1', '±2.1', '±2.3', '±2.6', '±2.5', '±1.6', '±1.3', '±1.5', '±4327', '±5802', '', '(X)', '(X)', '(X)']
11206 Married-couple families Estimate,['8648', '2.6%', '3.1%', '12.3%', '12.4%', '10.7%', '15.1%', '15.5%', '11.0%', '7.1%', '10.2%', '65957', 'N', '', '(X)', '(X)', '(X)']
11206 Married-couple families Margin of Error,['±628', '±1.2', '±1.3', '±2.8', '±3.3', '±2.7', '±3.7', '±4.1', '±3.0', '±1.9', '±3.0', '±6770', 'N', '', '(X)', '(X)', '(X)']
11206 Nonfamily households Estimate,['13010', '15.7%', '11.1%', '9.5%', '6.3%', '5.2%', '9.0%', '9.9%', '14.6%', '9.0%', '9.7%', '56839', '81860', '', '(X)', '(X)', '39.4%']
11206 Nonfamily households Margin of Error,['±825', '±3.3', '±2.7', '±2.5', '±2.0', '±1.4', '±1.7', '±1.9', '±2.3', '±2.3', '±2.2', '±9439', '±6624', '', '(X)', '(X)', '(X)']
11207 Households Estimate,['33996', '15.2%', '6.6%', '11.4%', '9.4%', '10.9%', '16.7%', '9.7%', '10.7%', '5.2%', '4.3%', '45616', '63245', '', '60.7%', '(X)', '(X)']
11207 Households Margin of Error,['±1034', '±1.7', '±1.2', '±1.4', '±1.2', '±1.4', '±1.8', '±1.0', '±1.4', '±1.0', '±0.8', '±2643', '±2585', '', '(X)', '(X)', '(X)']
11207 Families Estimate,['20171', '7.7%', '5.1%', '10.4%', '9.1%', '11.9%', '19.0%', '11.8%', '13.7%', '6.6%', '4.6%', '56089', '72780', '', '(X)', '68.3%', '(X)']
11207 Families Margin of Error,['±986', '±1.4', '±1.4', '±1.7', '±1.9', '±1.8', '±2.6', '±1.6', '±1.8', '±1.5', '±1.1', '±3898', '±3351', '', '(X)', '(X)', '(X)']
11207 Married-couple families Estimate,['8601', '4.1%', '2.2%', '7.8%', '6.5%', '9.5%', '18.4%', '14.8%', '19.9%', '9.1%', '7.8%', '78252', '93541', '', '(X)', '(X)', '(X)']
11207 Married-couple families Margin of Error,['±639', '±1.7', '±0.9', '±2.3', '±2.5', '±2.5', '±3.3', '±2.7', '±3.4', '±2.4', '±2.2', '±6963', '±5573', '', '(X)', '(X)', '(X)']
11207 Nonfamily households Estimate,['13825', '27.4%', '9.2%', '12.9%', '10.6%', '10.0%', '13.0%', '6.5%', '5.8%', '2.0%', '2.6%', '25426', '43456', '', '(X)', '(X)', '47.8%']
11207 Nonfamily households Margin of Error,['±995', '±3.9', '±2.3', '±2.4', '±2.1', '±1.8', '±2.7', '±1.4', '±2.2', '±0.9', '±1.0', '±3979', '±4235', '', '(X)', '(X)', '(X)']
11208 Households Estimate,['33551', '14.2%', '4.7%', '8.8%', '11.2%', '11.3%', '15.3%', '12.3%', '12.1%', '5.1%', '4.9%', '49679', '70501', '', '75.0%', '(X)', '(X)']
11208 Households Margin of Error,['±1137', '±1.7', '±0.9', '±1.4', '±1.8', '±1.5', '±1.4', '±2.0', '±1.7', '±1.0', '±1.1', '±3003', '±3930', '', '(X)', '(X)', '(X)']
11208 Families Estimate,['23995', '10.2%', '3.1%', '8.9%', '9.9%', '12.3%', '17.2%', '12.6%', '14.0%', '6.2%', '5.7%', '57888', '76680', '', '(X)', '77.6%', '(X)']
11208 Families Margin of Error,['±878', '±1.7', '±0.9', '±1.9', '±1.7', '±1.8', '±2.2', '±2.2', '±2.1', '±1.4', '±1.5', '±4687', '±4343', '', '(X)', '(X)', '(X)']
11208 Married-couple families Estimate,['12102', '3.5%', '1.9%', '5.8%', '7.4%', '12.9%', '19.2%', '15.4%', '16.8%', '8.2%', '8.9%', '73867', 'N', '', '(X)', '(X)', '(X)']
11208 Married-couple families Margin of Error,['±732', '±1.4', '±1.1', '±1.9', '±2.3', '±3.2', '±2.9', '±3.1', '±2.9', '±1.9', '±2.6', '±6823', 'N', '', '(X)', '(X)', '(X)']
11208 Nonfamily households Estimate,['9556', '25.8%', '8.9%', '11.3%', '14.9%', '10.8%', '11.0%', '8.0%', '7.0%', '1.3%', '0.9%', '26805', '44442', '', '(X)', '(X)', '61.9%']
11208 Nonfamily households Margin of Error,['±828', '±4.0', '±2.7', '±2.9', '±4.4', '±2.3', '±2.9', '±2.2', '±2.3', '±1.2', '±0.7', '±2474', '±7728', '', '(X)', '(X)', '(X)']
11209 Households Estimate,['30150', '5.5%', '3.7%', '5.9%', '7.2%', '9.0%', '13.8%', '12.5%', '19.0%', '8.1%', '15.2%', '84145', '114589', '', '39.1%', '(X)', '(X)']
11209 Households Margin of Error,['±838', '±0.9', '±0.8', '±1.0', '±1.4', '±1.3', '±1.2', '±1.4', '±1.4', '±0.8', '±1.3', '±5152', '±4426', '', '(X)', '(X)', '(X)']
11209 Families Estimate,['17110', '2.6%', '1.5%', '4.5%', '5.5%', '7.9%', '12.4%', '12.2%', '21.6%', '10.3%', '21.5%', '108350', '138315', '', '(X)', '42.4%', '(X)']
11209 Families Margin of Error,['±727', '±0.8', '±0.6', '±1.2', '±1.8', '±1.6', '±2.0', '±1.8', '±2.1', '±1.1', '±1.9', '±5176', '±6036', '', '(X)', '(X)', '(X)']
11209 Married-couple families Estimate,['13190', '1.5%', '1.0%', '3.9%', '5.9%', '7.3%', '10.7%', '11.3%', '21.5%', '11.1%', '25.7%', '119971', 'N', '', '(X)', '(X)', '(X)']
11209 Married-couple families Margin of Error,['±649', '±0.7', '±0.5', '±1.3', '±2.3', '±1.8', '±2.3', '±1.9', '±2.3', '±1.6', '±2.3', '±4466', 'N', '', '(X)', '(X)', '(X)']
11209 Nonfamily households Estimate,['13040', '9.5%', '6.8%', '8.0%', '9.6%', '10.4%', '16.0%', '12.7%', '15.3%', '5.4%', '6.3%', '59701', '81040', '', '(X)', '(X)', '34.1%']
11209 Nonfamily households Margin of Error,['±732', '±2.0', '±1.6', '±1.7', '±2.2', '±2.0', '±1.8', '±1.9', '±2.3', '±1.4', '±1.6', '±5109', '±7313', '', '(X)', '(X)', '(X)']
11210 Households Estimate,['21720', '5.7%', '2.9%', '4.9%', '6.1%', '10.7%', '18.6%', '12.7%', '18.4%', '9.4%', '10.5%', '77378', '105692', '', '60.8%', '(X)', '(X)']
11210 Households Margin of Error,['±798', '±1.4', '±0.8', '±1.2', '±1.3', '±1.7', '±2.0', '±1.8', '±2.2', '±1.3', '±1.4', '±3936', '±4877', '', '(X)', '(X)', '(X)']
11210 Families Estimate,['15430', '3.7%', '0.8%', '4.0%', '4.9%', '10.5%', '17.2%', '12.9%', '20.5%', '12.5%', '13.0%', '89240', '120659', '', '(X)', '65.9%', '(X)']
11210 Families Margin of Error,['±760', '±1.1', '±0.4', '±1.1', '±1.8', '±2.2', '±2.3', '±2.4', '±2.8', '±1.7', '±1.9', '±8279', '±6189', '', '(X)', '(X)', '(X)']
11210 Married-couple families Estimate,['9405', '2.2%', '0.4%', '3.2%', '2.8%', '9.6%', '14.6%', '11.2%', '22.9%', '14.3%', '18.8%', '110632', 'N', '', '(X)', '(X)', '(X)']
11210 Married-couple families Margin of Error,['±633', '±0.9', '±0.4', '±1.2', '±1.7', '±3.4', '±2.8', '±2.4', '±3.3', '±2.5', '±2.7', '±4771', 'N', '', '(X)', '(X)', '(X)']
11210 Nonfamily households Estimate,['6290', '11.8%', '8.4%', '7.8%', '11.6%', '12.5%', '21.5%', '11.9%', '9.3%', '2.4%', '2.8%', '46912', '60817', '', '(X)', '(X)', '46.3%']
11210 Nonfamily households Margin of Error,['±599', '±3.9', '±2.4', '±3.2', '±3.1', '±2.9', '±4.0', '±2.9', '±2.2', '±1.4', '±1.4', '±7216', '±6843', '', '(X)', '(X)', '(X)']
11211 Households Estimate,['26082', '6.5%', '6.1%', '10.4%', '4.5%', '6.4%', '10.4%', '8.9%', '13.6%', '11.2%', '22.0%', '89091', '132181', '', '40.4%', '(X)', '(X)']
11211 Households Margin of Error,['±876', '±1.3', '±1.4', '±1.5', '±1.0', '±1.3', '±1.4', '±1.3', '±1.8', '±2.1', '±1.9', '±6368', '±7424', '', '(X)', '(X)', '(X)']
11211 Families Estimate,['12418', '4.8%', '6.1%', '13.6%', '6.5%', '8.9%', '11.1%', '8.8%', '11.4%', '9.1%', '19.6%', '73113', '120065', '', '(X)', '42.6%', '(X)']
11211 Families Margin of Error,['±700', '±1.7', '±2.3', '±2.7', '±1.6', '±2.5', '±2.5', '±1.9', '±2.4', '±2.1', '±2.7', '±11147', '±9319', '', '(X)', '(X)', '(X)']
11211 Married-couple families Estimate,['8927', '2.8%', '5.6%', '15.1%', '5.4%', '7.5%', '8.2%', '7.8%', '11.8%', '10.7%', '25.1%', '88429', 'N', '', '(X)', '(X)', '(X)']
11211 Married-couple families Margin of Error,['±715', '±1.5', '±3.1', '±3.4', '±1.6', '±2.8', '±2.3', '±1.9', '±3.1', '±2.7', '±3.6', '±15985', 'N', '', '(X)', '(X)', '(X)']
11211 Nonfamily households Estimate,['13664', '8.5%', '6.2%', '7.4%', '3.1%', '4.8%', '9.7%', '9.2%', '15.3%', '13.5%', '22.4%', '105718', '139148', '', '(X)', '(X)', '37.4%']
11211 Nonfamily households Margin of Error,['±818', '±2.0', '±1.6', '±1.8', '±1.2', '±1.2', '±2.1', '±2.1', '±2.6', '±3.6', '±3.0', '±13614', '±10833', '', '(X)', '(X)', '(X)']
11212 Households Estimate,['31594', '21.6%', '10.8%', '11.8%', '9.8%', '11.5%', '15.0%', '7.1%', '8.3%', '2.2%', '1.9%', '30733', '47426', '', '55.3%', '(X)', '(X)']
11212 Households Margin of Error,['±1177', '±2.6', '±2.0', '±1.8', '±1.5', '±1.6', '±2.0', '±1.0', '±1.9', '±0.7', '±0.5', '±2339', '±2896', '', '(X)', '(X)', '(X)']
11212 Families Estimate,['16368', '9.7%', '7.9%', '10.3%', '11.2%', '12.7%', '18.7%', '10.2%', '13.4%', '3.5%', '2.4%', '47271', '61518', '', '(X)', '64.7%', '(X)']
11212 Families Margin of Error,['±1250', '±2.2', '±3.5', '±1.8', '±2.7', '±2.3', '±3.0', '±1.8', '±3.2', '±1.2', '±0.8', '±6224', '±4254', '', '(X)', '(X)', '(X)']
11212 Married-couple families Estimate,['5096', '4.3%', '4.8%', '9.4%', '8.7%', '9.2%', '17.7%', '17.2%', '15.2%', '7.8%', '5.7%', '67274', 'N', '', '(X)', '(X)', '(X)']
11212 Married-couple families Margin of Error,['±612', '±2.4', '±5.1', '±3.5', '±3.4', '±4.5', '±4.8', '±4.5', '±4.1', '±3.3', '±2.4', '±11556', 'N', '', '(X)', '(X)', '(X)']
11212 Nonfamily households Estimate,['15226', '34.9%', '13.9%', '13.7%', '10.0%', '9.9%', '10.3%', '3.6%', '2.5%', '0.5%', '0.6%', '15571', '29015', '', '(X)', '(X)', '43.5%']
11212 Nonfamily households Margin of Error,['±930', '±4.6', '±3.2', '±3.2', '±2.2', '±2.5', '±2.5', '±1.3', '±1.0', '±0.4', '±0.5', '±2104', '±2513', '', '(X)', '(X)', '(X)']
11213 Households Estimate,['26098', '9.4%', '8.3%', '11.1%', '9.4%', '12.3%', '12.0%', '11.7%', '13.0%', '6.6%', '6.1%', '48896', '77637', '', '50.9%', '(X)', '(X)']
11213 Households Margin of Error,['±904', '±1.6', '±1.6', '±1.8', '±2.0', '±1.9', '±1.5', '±2.0', '±1.7', '±1.2', '±1.0', '±4319', '±5041', '', '(X)', '(X)', '(X)']
11213 Families Estimate,['14481', '5.9%', '3.8%', '11.6%', '9.9%', '14.4%', '11.7%', '11.8%', '15.1%', '7.7%', '8.1%', '54883', '90565', '', '(X)', '57.2%', '(X)']
11213 Families Margin of Error,['±761', '±1.7', '±1.3', '±2.9', '±2.4', '±2.6', '±2.1', '±1.9', '±2.5', '±1.8', '±1.8', '±6438', '±7966', '', '(X)', '(X)', '(X)']
11213 Married-couple families Estimate,['6100', '2.6%', '1.8%', '7.3%', '6.5%', '13.5%', '13.6%', '12.5%', '16.2%', '11.0%', '14.9%', '83441', 'N', '', '(X)', '(X)', '(X)']
11213 Married-couple families Margin of Error,['±559', '±1.3', '±1.2', '±3.7', '±3.0', '±3.9', '±3.7', '±3.0', '±3.5', '±3.4', '±3.5', '±9156', 'N', '', '(X)', '(X)', '(X)']
11213 Nonfamily households Estimate,['11617', '14.1%', '14.0%', '10.7%', '9.4%', '10.2%', '12.6%', '11.9%', '9.7%', '4.6%', '2.9%', '38328', '57521', '', '(X)', '(X)', '42.2%']
11213 Nonfamily households Margin of Error,['±905', '±2.6', '±2.7', '±2.4', '±3.4', '±2.8', '±2.4', '±3.7', '±2.4', '±1.6', '±0.9', '±5126', '±3796', '', '(X)', '(X)', '(X)']
11214 Households Estimate,['31716', '5.7%', '7.1%', '9.6%', '7.3%', '13.2%', '15.9%', '11.0%', '15.6%', '7.2%', '7.2%', '58487', '83512', '', '52.6%', '(X)', '(X)']
11214 Households Margin of Error,['±863', '±0.8', '±1.3', '±1.2', '±1.0', '±1.4', '±1.6', '±1.2', '±1.3', '±1.0', '±1.1', '±3055', '±3895', '', '(X)', '(X)', '(X)']
11214 Families Estimate,['22330', '4.8%', '2.9%', '7.6%', '7.8%', '13.8%', '16.8%', '11.5%', '18.1%', '8.5%', '8.2%', '67335', '92444', '', '(X)', '53.7%', '(X)']
11214 Families Margin of Error,['±868', '±1.0', '±0.9', '±1.3', '±1.1', '±1.8', '±2.0', '±1.6', '±1.8', '±1.3', '±1.3', '±3405', '±4858', '', '(X)', '(X)', '(X)']
11214 Married-couple families Estimate,['16187', '4.1%', '3.0%', '7.4%', '7.0%', '12.8%', '16.6%', '11.8%', '19.6%', '8.2%', '9.5%', '72093', '97377', '', '(X)', '(X)', '(X)']
11214 Married-couple families Margin of Error,['±763', '±1.1', '±1.1', '±1.4', '±1.2', '±2.1', '±2.1', '±1.6', '±2.3', '±1.3', '±1.7', '±7009', '±6166', '', '(X)', '(X)', '(X)']
11214 Nonfamily households Estimate,['9386', '9.3%', '17.7%', '15.4%', '6.7%', '11.1%', '16.0%', '9.1%', '9.7%', '2.3%', '2.6%', '36439', '53241', '', '(X)', '(X)', '45.6%']
11214 Nonfamily households Margin of Error,['±613', '±1.8', '±3.6', '±2.9', '±1.5', '±1.9', '±3.4', '±2.5', '±2.3', '±0.9', '±1.4', '±5284', '±5316', '', '(X)', '(X)', '(X)']
11215 Households Estimate,['29395', '3.3%', '1.0%', '3.6%', '2.0%', '4.6%', '8.8%', '8.9%', '16.0%', '14.7%', '37.1%', '156930', '214768', '', '30.8%', '(X)', '(X)']
11215 Households Margin of Error,['±1166', '±0.9', '±0.4', '±1.2', '±0.7', '±1.1', '±1.5', '±1.3', '±1.7', '±1.9', '±2.0', '±8212', '±9691', '', '(X)', '(X)', '(X)']
11215 Families Estimate,['17696', '2.3%', '0.4%', '2.4%', '1.6%', '2.6%', '6.2%', '6.5%', '14.7%', '15.0%', '48.4%', '192917', '262317', '', '(X)', '29.6%', '(X)']
11215 Families Margin of Error,['±847', '±1.2', '±0.3', '±1.4', '±0.9', '±0.7', '±1.8', '±1.5', '±2.0', '±2.4', '±2.9', '±10656', '±12517', '', '(X)', '(X)', '(X)']
11215 Married-couple families Estimate,['14833', '1.9%', '0.0%', '1.1%', '1.3%', '2.0%', '4.6%', '5.7%', '12.6%', '15.1%', '55.6%', '221185', 'N', '', '(X)', '(X)', '(X)']
11215 Married-couple families Margin of Error,['±766', '±1.4', '±0.3', '±0.6', '±0.9', '±0.7', '±1.3', '±1.7', '±2.1', '±2.4', '±3.1', '±12324', 'N', '', '(X)', '(X)', '(X)']
11215 Nonfamily households Estimate,['11699', '4.8%', '2.2%', '5.5%', '2.6%', '7.6%', '13.3%', '13.2%', '19.4%', '14.8%', '16.7%', '101281', '124950', '', '(X)', '(X)', '30.4%']
11215 Nonfamily households Margin of Error,['±861', '±1.4', '±1.0', '±2.2', '±1.0', '±2.2', '±2.7', '±3.0', '±3.1', '±3.5', '±3.9', '±5744', '±8925', '', '(X)', '(X)', '(X)']
11216 Households Estimate,['26106', '7.0%', '4.5%', '6.8%', '5.2%', '9.2%', '12.8%', '12.9%', '15.6%', '10.6%', '15.3%', '84661', '116617', '', '47.6%', '(X)', '(X)']
11216 Households Margin of Error,['±910', '±1.3', '±1.0', '±1.4', '±1.1', '±1.7', '±1.6', '±1.8', '±1.9', '±1.6', '±1.8', '±5694', '±6202', '', '(X)', '(X)', '(X)']
11216 Families Estimate,['11832', '4.3%', '1.5%', '5.6%', '4.5%', '12.1%', '13.5%', '11.6%', '16.3%', '11.3%', '19.4%', '94016', '136466', '', '(X)', '55.3%', '(X)']
11216 Families Margin of Error,['±805', '±1.6', '±0.8', '±1.7', '±1.6', '±3.4', '±2.8', '±2.4', '±2.6', '±2.6', '±3.1', '±7586', '±12423', '', '(X)', '(X)', '(X)']
11216 Married-couple families Estimate,['7065', '0.4%', '1.1%', '3.8%', '3.6%', '9.7%', '7.0%', '13.5%', '18.4%', '13.0%', '29.6%', '138504', 'N', '', '(X)', '(X)', '(X)']
11216 Married-couple families Margin of Error,['±564', '±0.6', '±0.8', '±1.7', '±1.9', '±4.4', '±2.4', '±3.4', '±3.6', '±3.2', '±4.8', '±17644', 'N', '', '(X)', '(X)', '(X)']
11216 Nonfamily households Estimate,['14274', '9.2%', '7.2%', '7.8%', '5.8%', '7.1%', '13.2%', '14.1%', '15.5%', '9.3%', '10.9%', '74626', '94254', '', '(X)', '(X)', '39.6%']
11216 Nonfamily households Margin of Error,['±748', '±1.9', '±1.8', '±1.9', '±1.7', '±1.9', '±2.2', '±2.4', '±2.3', '±1.7', '±2.3', '±6311', '±5575', '', '(X)', '(X)', '(X)']
11217 Households Estimate,['18052', '7.1%', '3.2%', '3.6%', '4.8%', '5.9%', '8.7%', '7.8%', '14.6%', '10.2%', '33.9%', '133269', '195414', '', '32.8%', '(X)', '(X)']
11217 Households Margin of Error,['±770', '±1.5', '±1.0', '±0.8', '±1.1', '±1.5', '±1.6', '±2.0', '±2.4', '±1.6', '±2.6', '±12241', '±12648', '', '(X)', '(X)', '(X)']
11217 Families Estimate,['8180', '1.7%', '1.7%', '2.4%', '4.8%', '5.7%', '7.6%', '8.8%', '12.5%', '9.6%', '45.2%', '176625', '255708', '', '(X)', '32.4%', '(X)']
11217 Families Margin of Error,['±679', '±0.8', '±1.1', '±1.2', '±1.8', '±1.9', '±2.2', '±3.6', '±2.5', '±2.1', '±3.7', '±24723', '±17914', '', '(X)', '(X)', '(X)']
11217 Married-couple families Estimate,['6005', '0.4%', '0.6%', '1.8%', '2.7%', '3.6%', '5.3%', '5.6%', '12.4%', '11.9%', '55.7%', '221412', 'N', '', '(X)', '(X)', '(X)']
11217 Married-couple families Margin of Error,['±598', '±0.5', '±0.7', '±1.1', '±1.7', '±1.9', '±1.8', '±4.0', '±2.7', '±2.7', '±4.6', '±21369', 'N', '', '(X)', '(X)', '(X)']
11217 Nonfamily households Estimate,['9872', '11.6%', '4.6%', '4.6%', '5.0%', '6.3%', '9.7%', '7.3%', '16.4%', '10.8%', '23.6%', '101623', '141954', '', '(X)', '(X)', '32.5%']
11217 Nonfamily households Margin of Error,['±772', '±2.5', '±1.6', '±1.3', '±1.8', '±2.0', '±2.2', '±1.9', '±3.4', '±2.1', '±3.6', '±8825', '±18470', '', '(X)', '(X)', '(X)']
11218 Households Estimate,['26140', '3.3%', '4.0%', '6.2%', '7.3%', '11.0%', '15.1%', '11.8%', '16.5%', '9.9%', '14.7%', '81857', '124925', '', '39.2%', '(X)', '(X)']
11218 Households Margin of Error,['±1106', '±0.8', '±1.1', '±1.1', '±1.4', '±1.9', '±2.4', '±1.7', '±1.9', '±1.3', '±2.9', '±5488', '±20211', '', '(X)', '(X)', '(X)']
11218 Families Estimate,['17252', '1.4%', '2.4%', '5.4%', '7.5%', '10.6%', '14.5%', '10.4%', '16.7%', '11.7%', '19.4%', '91654', '146812', '', '(X)', '43.4%', '(X)']
11218 Families Margin of Error,['±1094', '±0.6', '±0.8', '±1.3', '±2.0', '±2.5', '±3.1', '±1.8', '±2.5', '±1.7', '±4.2', '±9279', '±29714', '', '(X)', '(X)', '(X)']
11218 Married-couple families Estimate,['13114', '0.1%', '2.2%', '5.3%', '6.0%', '9.1%', '13.1%', '9.5%', '17.9%', '13.4%', '23.3%', '111035', '163897', '', '(X)', '(X)', '(X)']
11218 Married-couple families Margin of Error,['±1078', '±0.1', '±0.9', '±1.6', '±1.5', '±1.9', '±2.8', '±2.2', '±2.6', '±2.0', '±5.1', '±9475', '±37046', '', '(X)', '(X)', '(X)']
11218 Nonfamily households Estimate,['8888', '7.5%', '7.4%', '8.1%', '7.3%', '12.2%', '16.7%', '14.9%', '15.7%', '6.4%', '3.9%', '58633', '75171', '', '(X)', '(X)', '30.3%']
11218 Nonfamily households Margin of Error,['±663', '±2.0', '±2.7', '±2.1', '±2.3', '±2.8', '±3.3', '±3.3', '±3.1', '±1.7', '±1.5', '±5007', '±5182', '', '(X)', '(X)', '(X)']
11219 Households Estimate,['24000', '6.2%', '7.8%', '14.1%', '12.4%', '13.0%', '17.2%', '9.2%', '11.0%', '4.7%', '4.4%', '44450', '67012', '', '49.5%', '(X)', '(X)']
11219 Households Margin of Error,['±887', '±1.2', '±1.5', '±1.6', '±1.9', '±1.6', '±2.0', '±1.5', '±1.7', '±1.1', '±0.8', '±2802', '±3475', '', '(X)', '(X)', '(X)']
11219 Families Estimate,['18893', '4.7%', '5.0%', '14.5%', '12.9%', '15.4%', '16.6%', '9.3%', '11.3%', '5.3%', '5.0%', '46739', '70731', '', '(X)', '50.4%', '(X)']
11219 Families Margin of Error,['±774', '±1.3', '±1.3', '±1.9', '±2.2', '±2.1', '±2.0', '±1.9', '±1.9', '±1.4', '±1.0', '±3667', '±4012', '', '(X)', '(X)', '(X)']
11219 Married-couple families Estimate,['15146', '3.9%', '5.3%', '14.1%', '14.6%', '14.5%', '16.0%', '9.0%', '11.8%', '5.3%', '5.5%', '46000', 'N', '', '(X)', '(X)', '(X)']
11219 Married-couple families Margin of Error,['±824', '±1.3', '±1.6', '±2.1', '±2.7', '±2.2', '±2.2', '±2.2', '±2.3', '±1.6', '±1.1', '±3822', 'N', '', '(X)', '(X)', '(X)']
11219 Nonfamily households Estimate,['5107', '13.6%', '17.6%', '14.3%', '11.8%', '7.9%', '17.5%', '6.2%', '8.5%', '1.2%', '1.4%', '29163', '45964', '', '(X)', '(X)', '44.0%']
